UnitID,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Delay
E35,SF,94105.0,B03,35,2136,3,3,False,,1,ENGINE,1.0,3.0,6.0,Financial District/South Beach,3.5333333
RS1,SF,94103.0,B03,01,2215,3,3,False,,1,RESCUE SQUAD,2.0,3.0,6.0,South of Market,4.6666665
T11,SF,94110.0,B06,11,5613,3,3,True,,1,TRUCK,2.0,6.0,9.0,Mission,1.55
M43,SF,94112.0,B09,32,6143,3,3,True,,1,MEDIC,2.0,9.0,11.0,Excelsior,1.4666667
RS2,SF,94114.0,B06,11,5467,3,3,False,,1,RESCUE SQUAD,8.0,6.0,8.0,Noe Valley,3.05
E08,SF,94107.0,B03,08,2243,3,3,False,,1,ENGINE,1.0,3.0,6.0,South of Market,4.9333334
B01,SF,94109.0,B04,03,1544,3,3,False,,1,CHIEF,2.0,2.0,6.0,Tenderloin,1.8
E03,SF,94109.0,B04,03,1544,3,3,False,,1,ENGINE,1.0,2.0,6.0,Tenderloin,3.0166667
T05,SF,94102.0,B02,05,3523,3,3,False,,1,TRUCK,2.0,2.0,5.0,Hayes Valley,1.9833333
M17,SF,94134.0,B10,42,6365,3,3,True,,1,MEDIC,3.0,9.0,9.0,Portola,1.7
M28,SF,94133.0,B01,02,1353,3,3,True,,1,MEDIC,2.0,1.0,3.0,Chinatown,2.5
T01,SF,94103.0,B03,01,2211,3,3,False,,1,TRUCK,3.0,3.0,6.0,Financial District/South Beach,2.3333333
M36,SF,94102.0,B02,36,3313,3,3,True,,1,MEDIC,2.0,2.0,5.0,Hayes Valley,1.8
M07,SF,94110.0,B06,07,5527,3,3,True,,1,MEDIC,1.0,6.0,9.0,Mission,1.8
RC4,SF,94127.0,B09,39,8256,E,E,True,,1,RESCUE CAPTAIN,4.0,9.0,7.0,West of Twin Peaks,3.1
B08,SF,94121.0,B07,14,7214,3,3,False,,1,CHIEF,7.0,7.0,1.0,Outer Richmond,4.55
T14,SF,94121.0,B07,14,7214,3,3,False,,1,TRUCK,4.0,7.0,1.0,Outer Richmond,2.8666666
T11,SF,94114.0,B06,24,5521,3,3,True,,1,TRUCK,1.0,6.0,8.0,Noe Valley,3.3333333
B05,SF,94115.0,B05,21,4242,3,3,False,,1,CHIEF,2.0,5.0,5.0,Western Addition,1.7333333
E14,SF,94121.0,B07,14,7225,3,3,False,,1,ENGINE,1.0,7.0,1.0,Outer Richmond,1.2166667
E33,SF,94132.0,B09,33,8432,3,3,False,,1,ENGINE,1.0,9.0,11.0,Oceanview/Merced/Ingleside,3.6333334
M38,SF,94115.0,B05,05,3535,3,3,True,,1,MEDIC,2.0,5.0,5.0,Western Addition,3.9166667
E02,SF,94133.0,B01,02,1311,3,3,False,,1,ENGINE,1.0,1.0,3.0,Chinatown,3.2666667
T19,SF,94132.0,B08,19,8732,3,3,False,,1,TRUCK,1.0,8.0,7.0,Sunset/Parkside,5.6
T10,SF,94124.0,B10,17,6641,3,3,False,,1,TRUCK,2.0,10.0,10.0,Bayview Hunters Point,1.1666666
M36,SF,94110.0,B02,07,5246,3,3,True,,1,MEDIC,1.0,2.0,9.0,Mission,2.85
E06,SF,94103.0,B02,06,5226,3,3,False,,1,ENGINE,1.0,2.0,9.0,Mission,2.3166666
M41,SF,94133.0,B01,28,1266,3,3,True,,1,MEDIC,2.0,1.0,3.0,North Beach,2.7333333
T01,SF,94105.0,B03,01,2178,3,3,False,,1,TRUCK,1.0,3.0,6.0,Financial District/South Beach,2.0
E35,SF,94104.0,B01,13,1164,3,3,False,,1,ENGINE,3.0,1.0,3.0,Financial District/South Beach,2.8
RS1,SF,94104.0,B01,13,1164,3,3,False,,1,RESCUE SQUAD,2.0,1.0,3.0,Financial District/South Beach,7.25
E33,SF,94112.0,B09,33,6213,3,3,False,,1,ENGINE,1.0,9.0,11.0,Outer Mission,1.3166667
T13,SF,94115.0,B04,38,3545,3,3,True,,1,TRUCK,3.0,4.0,2.0,Pacific Heights,2.8833334
E22,SF,94122.0,B08,18,7475,3,3,True,,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,2.3
