UnitID,City,Zipcode,Battalion,StationArea,Box,OriginalPriority,Priority,ALSUnit,CallTypeGroup,NumAlarms,UnitType,UnitSequenceInCallDispatch,FirePreventionDistrict,SupervisorDistrict,Neighborhood,Delay
M01,SF,94103.0,B03,01,2251,1,1,True,,1,MEDIC,1.0,3.0,6.0,South of Market,3.4
B05,SF,94103.0,B02,06,5214,3,3,False,,1,CHIEF,9.0,2.0,8.0,Mission,1.5833334
E18,SF,94116.0,B08,18,7472,3,3,False,,1,ENGINE,2.0,8.0,4.0,Sunset/Parkside,5.383333
M18,SF,94116.0,B08,18,7472,3,3,True,,1,MEDIC,1.0,8.0,4.0,Sunset/Parkside,5.35
M38,SF,94123.0,B04,16,3461,3,3,True,,1,MEDIC,2.0,4.0,2.0,Marina,2.65
M08,SF,94102.0,B03,01,1365,2,2,True,,1,MEDIC,1.0,3.0,6.0,Tenderloin,2.75
E15,SF,94112.0,B09,15,8266,3,3,True,,1,ENGINE,1.0,9.0,11.0,Outer Mission,3.1333334
M05,SF,94117.0,B05,21,4252,2,2,True,,1,MEDIC,1.0,5.0,5.0,Lone Mountain/USF,2.85
RS1,SF,94107.0,B03,08,2242,3,3,False,,1,RESCUE SQUAD,1.0,3.0,6.0,South of Market,5.1833334
E36,SF,94103.0,B02,36,5125,3,3,False,,1,ENGINE,1.0,2.0,6.0,Mission,2.6666667
E21,SF,94117.0,B05,21,4356,3,3,False,,1,ENGINE,1.0,5.0,5.0,Lone Mountain/USF,1.3833333
M18,SF,94131.0,B06,26,8164,2,2,True,,1,MEDIC,1.0,6.0,8.0,Noe Valley,2.6166666
M10,SF,94115.0,B05,10,4155,3,3,True,,1,MEDIC,2.0,5.0,5.0,Japantown,2.9333334
M15,SF,94103.0,B02,07,5236,3,3,False,,1,MEDIC,3.0,2.0,9.0,Mission,6.383333
M08,SF,94132.0,B08,19,8854,1,1,True,,1,MEDIC,3.0,8.0,7.0,Lakeshore,2.5833333
RC2,SF,94132.0,B08,19,8854,1,1,True,,1,RESCUE CAPTAIN,4.0,8.0,7.0,Lakeshore,2.9333334
M12,SF,94117.0,B05,12,4545,3,3,True,,1,MEDIC,2.0,7.0,5.0,Haight Ashbury,1.9166666
B08,SF,94116.0,B08,18,7546,3,3,False,,1,CHIEF,3.0,8.0,4.0,Sunset/Parkside,1.1666666
M01,SF,94102.0,B02,36,3111,3,3,True,,1,MEDIC,2.0,2.0,6.0,Tenderloin,2.1166666
E19,SF,94132.0,B08,19,8862,3,3,True,,1,ENGINE,4.0,8.0,7.0,Lakeshore,5.5666666
T03,SF,94109.0,B01,03,1462,3,3,False,,1,TRUCK,2.0,1.0,3.0,Tenderloin,2.0166667
E06,SF,94117.0,B05,06,5133,3,3,False,,1,ENGINE,1.0,5.0,8.0,Haight Ashbury,1.6166667
E26,SF,94131.0,B09,26,8214,3,3,False,,1,ENGINE,3.0,9.0,7.0,West of Twin Peaks,3.1166666
E02,SF,94133.0,B01,02,1311,3,3,False,,1,ENGINE,1.0,1.0,3.0,North Beach,4.75
E12,SF,94114.0,B05,12,5255,3,3,True,,1,ENGINE,1.0,5.0,8.0,Castro/Upper Market,1.8333334
M07,SF,94131.0,B06,11,5556,3,3,True,,1,MEDIC,1.0,6.0,8.0,Noe Valley,3.75
E01,SF,94102.0,B01,01,1363,3,3,False,,1,ENGINE,2.0,1.0,3.0,Tenderloin,3.7833333
T01,SF,94102.0,B01,01,1363,3,3,False,,1,TRUCK,3.0,1.0,3.0,Tenderloin,3.8666666
M08,SF,94107.0,B03,29,2465,3,3,True,,1,MEDIC,1.0,10.0,10.0,Potrero Hill,4.3
RC1,SF,94103.0,B02,01,2318,E,E,False,,1,RESCUE CAPTAIN,2.0,2.0,6.0,South of Market,5.9166665
B01,SF,94102.0,B01,03,1412,3,3,False,,1,CHIEF,3.0,1.0,3.0,Nob Hill,7.3166666
91,SF,94121.0,B07,34,7257,3,3,False,,1,MEDIC,2.0,7.0,1.0,Outer Richmond,2.4333334
E12,SF,94122.0,B08,22,7366,3,3,False,,1,ENGINE,1.0,8.0,5.0,Inner Sunset,1.1833333
M38,SF,94109.0,B04,38,3325,3,3,True,,1,MEDIC,1.0,4.0,5.0,Pacific Heights,1.3833333
M12,SF,94114.0,B06,24,5266,3,3,True,,1,MEDIC,2.0,6.0,8.0,Twin Peaks,0.85
M13,SF,94108.0,B01,01,1241,3,3,True,,1,MEDIC,2.0,1.0,3.0,Financial District/South Beach,2.1833334
M18,SF,94122.0,B08,23,7536,2,2,True,,1,MEDIC,1.0,8.0,4.0,Sunset/Parkside,2.35
M10,SF,94123.0,B04,16,4326,3,3,True,,1,MEDIC,2.0,4.0,2.0,Marina,6.45
B02,SF,94102.0,B02,03,1545,3,3,False,,1,CHIEF,1.0,2.0,6.0,Tenderloin,0.8666667
E01,SF,94103.0,B03,01,1364,3,3,False,,1,ENGINE,2.0,3.0,3.0,Financial District/South Beach,3.75
E01,SF,94103.0,B03,01,2248,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,3.05
E08,SF,94105.0,B03,01,2177,3,3,False,,1,ENGINE,1.0,3.0,6.0,Financial District/South Beach,0.8333333
E31,SF,94118.0,B07,31,7117,3,3,False,,1,ENGINE,1.0,7.0,1.0,Inner Richmond,3.1166666
M38,SF,94115.0,B02,05,3426,3,3,True,,1,MEDIC,3.0,2.0,5.0,Western Addition,1.3833333
M18,SF,94116.0,B08,18,7525,2,2,True,,1,MEDIC,1.0,8.0,4.0,Sunset/Parkside,5.4666667
E01,SF,94107.0,B03,01,2244,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,2.6
RS1,SF,94107.0,B03,01,2244,3,3,False,,1,RESCUE SQUAD,3.0,3.0,6.0,South of Market,3.2333333
B07,SF,94122.0,B08,22,7424,3,3,False,,1,CHIEF,2.0,7.0,4.0,Inner Sunset,5.6666665
91,SF,94102.0,B03,01,1455,3,3,False,,1,MEDIC,2.0,2.0,6.0,Tenderloin,2.3333333
M05,SF,94117.0,B05,21,4146,3,3,True,,1,MEDIC,2.0,5.0,5.0,Hayes Valley,1.75
M12,SF,94131.0,B06,24,5282,3,3,True,,1,MEDIC,2.0,6.0,8.0,Twin Peaks,5.516667
B10,SF,94110.0,B10,42,6373,3,3,False,,1,CHIEF,2.0,10.0,9.0,Bernal Heights,2.8166666
M18,SF,94122.0,B08,22,7332,E,E,True,,1,MEDIC,3.0,8.0,5.0,Inner Sunset,2.4666667
T13,SF,94115.0,B05,05,3535,3,3,False,,1,TRUCK,1.0,5.0,5.0,Western Addition,3.25
M14,SF,94121.0,B07,14,7175,1,1,True,,1,MEDIC,1.0,7.0,1.0,Outer Richmond,5.2833333
92,SF,94110.0,B06,07,5455,2,2,False,,1,MEDIC,1.0,6.0,9.0,Mission,2.2
T12,SF,94116.0,B08,40,7444,3,3,False,,1,TRUCK,9.0,8.0,4.0,Sunset/Parkside,3.0833333
E43,SF,94112.0,B09,43,6121,3,3,True,,1,ENGINE,1.0,9.0,11.0,Excelsior,4.35
E15,SF,94132.0,B08,19,8713,3,3,True,,1,ENGINE,2.0,8.0,7.0,Lakeshore,2.75
94,SF,94115.0,B05,05,3515,3,3,False,,1,MEDIC,2.0,2.0,5.0,Western Addition,5.616667
E42,SF,94134.0,B10,42,6341,3,3,True,,1,ENGINE,1.0,10.0,9.0,Portola,2.0166667
M17,SF,94134.0,B10,42,6341,3,3,True,,1,MEDIC,2.0,10.0,9.0,Portola,2.3
E40,SF,94116.0,B08,18,7612,3,3,True,,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,1.3333334
M38,SF,94109.0,B04,38,3324,3,3,True,,1,MEDIC,1.0,4.0,5.0,Pacific Heights,2.75
T08,SF,94107.0,B03,08,2242,3,3,False,,1,TRUCK,1.0,3.0,6.0,South of Market,2.9
E15,SF,94112.0,B09,32,8263,3,3,True,,1,ENGINE,1.0,9.0,11.0,Outer Mission,1.8666667
M01,SF,94110.0,B10,07,2553,2,2,True,,1,MEDIC,1.0,10.0,10.0,Potrero Hill,25.466667
M08,SF,94105.0,B03,35,2123,1,1,True,,1,MEDIC,1.0,3.0,6.0,Financial District/South Beach,3.1833334
D3,SF,94105.0,B03,01,2147,3,3,False,,1,CHIEF,8.0,3.0,6.0,Financial District/South Beach,2.2666667
94,SF,94110.0,B06,11,5512,3,3,True,,1,MEDIC,3.0,6.0,9.0,Mission,2.4666667
M28,SF,94133.0,B01,28,1266,3,3,True,,1,MEDIC,2.0,1.0,3.0,North Beach,2.9
E01,SF,94102.0,B02,01,2317,3,3,False,,1,ENGINE,9.0,2.0,6.0,Tenderloin,3.6333334
E01,SF,94103.0,B03,01,1364,3,3,False,,1,ENGINE,1.0,3.0,6.0,South of Market,1.5833334
E44,SF,94134.0,B10,42,6327,3,3,True,,1,ENGINE,1.0,10.0,9.0,Portola,1.75
T03,SF,94103.0,B03,08,2255,3,3,False,,1,TRUCK,7.0,3.0,6.0,South of Market,3.8666666
M05,SF,94115.0,B05,05,3535,3,3,True,,1,MEDIC,2.0,5.0,5.0,Western Addition,2.3166666
T09,SF,94110.0,B06,32,5645,3,3,True,,1,TRUCK,2.0,6.0,9.0,Bernal Heights,3.2833333
91,SF,94102.0,B01,01,1363,3,3,True,,1,MEDIC,2.0,3.0,3.0,Tenderloin,2.5166667
E11,SF,94110.0,B06,11,5457,3,3,False,,1,ENGINE,1.0,6.0,8.0,Mission,2.2
M29,SF,94103.0,B02,07,5236,3,3,True,,1,MEDIC,2.0,2.0,9.0,Mission,6.516667
M32,SF,94134.0,B09,42,0635,3,3,True,,1,MEDIC,2.0,9.0,9.0,Portola,4.3
E10,SF,94115.0,B05,10,4365,3,3,False,,1,ENGINE,1.0,5.0,2.0,Lone Mountain/USF,1.4666667
M01,SF,94102.0,B02,01,2309,3,3,True,,1,MEDIC,2.0,2.0,6.0,Tenderloin,12.733334
M18,SF,94132.0,B08,19,8777,3,3,True,,1,MEDIC,3.0,8.0,7.0,Lakeshore,8.516666
E39,SF,94127.0,B09,39,8651,3,3,False,,1,ENGINE,1.0,9.0,7.0,West of Twin Peaks,2.2833333
RS2,SF,94127.0,B09,39,8651,3,3,False,,1,RESCUE SQUAD,7.0,9.0,7.0,West of Twin Peaks,0.95
T17,SF,94124.0,B10,17,6516,3,3,True,,1,TRUCK,2.0,10.0,10.0,Bayview Hunters Point,1.1666666
M12,SF,94117.0,B05,21,4466,3,3,True,,1,MEDIC,3.0,5.0,5.0,Haight Ashbury,3.8166666
E03,SF,94109.0,B04,03,3223,3,3,False,,1,ENGINE,3.0,4.0,2.0,Western Addition,1.0
E01,SF,94107.0,B03,01,2215,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,2.0166667
T05,SF,94117.0,B05,21,4243,3,3,False,,1,TRUCK,3.0,5.0,5.0,Hayes Valley,2.3333333
M18,SF,94116.0,B08,18,7521,3,3,True,,1,MEDIC,1.0,8.0,4.0,Sunset/Parkside,1.0166667
M28,SF,94111.0,B01,13,1133,3,3,True,,1,MEDIC,1.0,1.0,3.0,Financial District/South Beach,3.2833333
E12,SF,94122.0,B08,12,7326,3,3,True,,1,ENGINE,2.0,8.0,5.0,Inner Sunset,1.2666667
E01,SF,94102.0,B03,01,1366,3,3,False,,1,ENGINE,2.0,3.0,6.0,Tenderloin,1.65
M38,SF,94109.0,B04,38,3255,3,3,False,,1,MEDIC,2.0,4.0,5.0,Pacific Heights,5.266667
M07,SF,94110.0,B02,07,5246,3,3,False,,1,MEDIC,1.0,2.0,9.0,Mission,3.6166666
E31,SF,94118.0,B07,31,7121,3,3,False,,1,ENGINE,1.0,7.0,1.0,Inner Richmond,3.6166666
B01,SF,94111.0,B01,13,1153,3,3,False,,1,CHIEF,2.0,1.0,3.0,Financial District/South Beach,1.9166666
E03,SF,94109.0,B01,03,1462,3,3,False,,1,ENGINE,2.0,1.0,3.0,Tenderloin,5.3166666
T06,SF,94117.0,B05,06,5131,3,3,False,,1,TRUCK,10.0,5.0,8.0,Haight Ashbury,2.2333333
T01,SF,94103.0,B02,29,2322,3,3,False,,1,TRUCK,1.0,2.0,6.0,South of Market,2.7333333
E08,SF,94158.0,B03,08,0954,3,3,True,,1,ENGINE,2.0,3.0,6.0,Mission Bay,2.7
M07,SF,94114.0,B06,06,0543,3,3,True,,1,MEDIC,1.0,6.0,8.0,Castro/Upper Market,2.7333333
E43,SF,94134.0,B09,43,6244,3,3,True,,1,ENGINE,2.0,9.0,10.0,Visitacion Valley,5.116667
94,SF,94102.0,B03,01,1454,3,3,False,,1,MEDIC,1.0,3.0,6.0,Tenderloin,2.3333333
E08,SF,94103.0,B03,01,2251,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,2.7166667
M05,SF,94115.0,B05,05,3535,3,3,True,,1,MEDIC,2.0,5.0,5.0,Western Addition,10.733334
T08,SF,94103.0,B03,01,2251,3,3,False,,1,TRUCK,2.0,3.0,6.0,South of Market,2.4166667
M29,SF,94118.0,B05,21,4462,3,3,True,,1,MEDIC,2.0,5.0,5.0,Lone Mountain/USF,2.1166666
E14,SF,94118.0,B07,31,7117,3,3,False,,1,ENGINE,8.0,7.0,1.0,Inner Richmond,2.3
E09,SF,94110.0,B10,32,5735,3,3,False,,1,ENGINE,1.0,10.0,9.0,Bernal Heights,2.7333333
RS2,SF,94132.0,B08,19,8713,3,3,False,,1,RESCUE SQUAD,10.0,8.0,7.0,Lakeshore,4.266667
M01,SF,94102.0,B01,01,1323,3,3,True,,1,MEDIC,1.0,1.0,3.0,Financial District/South Beach,1.7666667
T07,SF,94103.0,B02,36,5112,3,3,False,,1,TRUCK,2.0,2.0,6.0,Mission,1.2833333
T07,SF,94103.0,B02,36,5279,3,3,False,,1,TRUCK,2.0,2.0,9.0,Mission,1.7833333
M05,SF,94103.0,B02,36,5114,3,3,True,,1,MEDIC,2.0,2.0,6.0,Mission,4.2166667
E41,SF,94109.0,B04,03,1543,3,3,False,,1,ENGINE,3.0,4.0,3.0,Nob Hill,2.6
E09,SF,94124.0,B10,09,6423,3,3,False,,1,ENGINE,1.0,10.0,10.0,Bayview Hunters Point,2.2666667
RS1,SF,94123.0,B04,16,3655,3,3,False,,1,RESCUE SQUAD,9.0,4.0,2.0,Marina,1.8
T06,SF,94102.0,B02,36,3416,3,3,False,,1,TRUCK,1.0,2.0,5.0,Hayes Valley,3.1666667
E23,SF,94122.0,B08,23,7651,3,3,False,,1,ENGINE,2.0,8.0,4.0,Sunset/Parkside,10.4
M08,SF,94103.0,B03,01,2214,1,1,True,,1,MEDIC,1.0,3.0,6.0,South of Market,5.85
E43,SF,94112.0,B09,43,6134,3,3,True,,1,ENGINE,1.0,9.0,11.0,Excelsior,1.5833334
M36,SF,94102.0,B02,01,2317,3,3,True,,1,MEDIC,1.0,2.0,6.0,Tenderloin,4.9
E03,SF,94109.0,B04,03,3121,3,3,True,,1,ENGINE,1.0,4.0,3.0,Nob Hill,2.6333334
B10,SF,94124.0,B10,25,2733,3,3,False,,1,CHIEF,8.0,10.0,10.0,Bayview Hunters Point,5.5833335
E17,SF,94124.0,B10,25,2733,3,3,True,,1,ENGINE,11.0,10.0,10.0,Bayview Hunters Point,9.733334
M28,SF,94103.0,B03,01,2246,3,3,True,,1,MEDIC,2.0,3.0,6.0,South of Market,4.55
M28,SF,94133.0,B01,13,1246,3,3,True,,1,MEDIC,2.0,1.0,3.0,Chinatown,2.6666667
M38,SF,94109.0,B04,03,3162,2,2,True,,1,MEDIC,1.0,4.0,5.0,Tenderloin,2.9333334
E31,SF,94118.0,B07,31,7125,3,3,False,,1,ENGINE,1.0,7.0,1.0,Inner Richmond,4.133333
E18,SF,94116.0,B08,18,7621,3,3,True,,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,3.15
T01,SF,94108.0,B01,02,1355,3,3,False,,1,TRUCK,1.0,1.0,3.0,Chinatown,2.9333334
D2,SF,94102.0,B03,01,1455,3,3,False,,1,CHIEF,4.0,2.0,6.0,Tenderloin,2.4666667
E14,SF,94121.0,B07,14,7232,3,3,False,,1,ENGINE,1.0,7.0,2.0,Seacliff,1.1166667
E29,SF,94107.0,B03,01,2215,3,3,False,,1,ENGINE,2.0,3.0,6.0,South of Market,2.8
E26,SF,94131.0,B09,26,8269,3,3,False,,1,ENGINE,2.0,9.0,8.0,West of Twin Peaks,4.65
T16,SF,94109.0,B01,28,1614,3,3,False,,1,TRUCK,2.0,1.0,2.0,Russian Hill,3.6333334
E15,SF,94112.0,B09,43,6155,E,E,False,,1,ENGINE,2.0,9.0,11.0,Excelsior,1.7166667
T19,SF,94132.0,B08,19,8772,3,3,True,,1,TRUCK,2.0,8.0,7.0,Lakeshore,3.6833334
E10,SF,94118.0,B07,10,4426,3,3,False,,1,ENGINE,1.0,7.0,2.0,Presidio Heights,1.75
T01,SF,94103.0,B03,01,2213,3,3,False,,1,TRUCK,2.0,3.0,6.0,South of Market,1.3666667
M36,SF,94103.0,B03,01,2248,3,3,True,,1,MEDIC,2.0,3.0,6.0,South of Market,3.7333333
M12,SF,94121.0,B07,34,7316,3,3,True,,1,MEDIC,3.0,7.0,1.0,Outer Richmond,9.75
E23,SF,94122.0,B08,23,7537,3,3,False,,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,2.3333333
E33,SF,94112.0,B09,15,8473,3,3,False,,1,ENGINE,3.0,9.0,7.0,Oceanview/Merced/Ingleside,2.0333333
M17,SF,94124.0,B10,17,6614,3,3,True,,1,MEDIC,2.0,10.0,10.0,Bayview Hunters Point,6.366667
M43,SF,94124.0,B10,17,6647,3,3,False,,1,MEDIC,2.0,10.0,10.0,Bayview Hunters Point,10.05
T17,SF,94124.0,B10,17,6647,3,3,True,,1,TRUCK,1.0,10.0,10.0,Bayview Hunters Point,4.65
RS1,SF,94109.0,B02,03,1545,3,3,False,,1,RESCUE SQUAD,1.0,2.0,6.0,Tenderloin,4.3166666
B05,SF,94115.0,B04,10,4336,3,3,False,,1,CHIEF,4.0,4.0,2.0,Presidio Heights,2.5166667
E41,SF,94109.0,B04,41,1562,3,3,False,,1,ENGINE,1.0,4.0,3.0,Nob Hill,2.1833334
E36,SF,94102.0,B03,01,2248,3,3,False,,1,ENGINE,3.0,3.0,6.0,South of Market,2.0333333
M28,SF,94123.0,B04,16,3235,3,3,True,,1,MEDIC,2.0,4.0,2.0,Marina,3.05
M15,SF,94127.0,B08,39,8564,3,3,True,,1,MEDIC,2.0,9.0,7.0,West of Twin Peaks,2.4833333
M29,SF,94110.0,B02,07,5423,3,3,False,,1,MEDIC,2.0,6.0,9.0,Mission,1.6833333
B02,SF,94109.0,B04,03,1641,3,3,False,,1,CHIEF,3.0,4.0,3.0,Nob Hill,2.3333333
M10,SF,94115.0,B04,05,3623,3,3,True,,1,MEDIC,4.0,4.0,5.0,Western Addition,1.7833333
M41,SF,94102.0,B02,36,3111,1,1,True,,1,MEDIC,1.0,2.0,6.0,Tenderloin,6.8333335
E14,SF,94121.0,B07,34,7252,3,3,False,,1,ENGINE,3.0,7.0,1.0,Outer Richmond,2.4166667
T01,SF,94102.0,B01,01,1363,3,3,False,,1,TRUCK,3.0,1.0,3.0,Tenderloin,3.15
M15,SF,94112.0,B09,33,8371,3,3,True,,1,MEDIC,4.0,9.0,11.0,Oceanview/Merced/Ingleside,3.6833334
E38,SF,94115.0,B04,38,3621,3,3,False,,1,ENGINE,1.0,4.0,5.0,Pacific Heights,1.7833333
D3,SF,94105.0,B03,35,2141,3,3,False,,1,CHIEF,6.0,3.0,6.0,Financial District/South Beach,2.6166666
M36,SF,94103.0,B02,36,5279,3,3,True,,1,MEDIC,2.0,2.0,9.0,Mission,2.0666666
B02,SF,94109.0,B02,03,1555,3,3,False,,1,CHIEF,1.0,2.0,6.0,Tenderloin,1.7
E07,SF,94110.0,B02,07,5423,3,3,False,,1,ENGINE,1.0,6.0,9.0,Mission,2.0666666
M41,SF,94109.0,B04,41,3123,3,3,True,,1,MEDIC,1.0,4.0,3.0,Nob Hill,2.7333333
E01,SF,94103.0,B03,01,2213,3,3,False,,1,ENGINE,1.0,3.0,6.0,South of Market,1.45
E08,SF,94107.0,B03,08,2174,3,3,False,,1,ENGINE,1.0,3.0,6.0,Financial District/South Beach,1.4833333
E03,SF,94102.0,B02,03,1554,3,3,False,,1,ENGINE,2.0,2.0,6.0,Tenderloin,3.8
RC1,SF,94109.0,B01,41,1534,E,E,True,,1,RESCUE CAPTAIN,3.0,1.0,3.0,Russian Hill,5.516667
T14,SF,94121.0,B07,34,7314,3,3,False,,1,TRUCK,2.0,7.0,1.0,Outer Richmond,1.05
M03,SF,94109.0,B04,38,3326,3,3,True,,1,MEDIC,2.0,4.0,2.0,Pacific Heights,1.9666667
T02,SF,94108.0,B01,13,1313,3,3,False,,1,TRUCK,2.0,1.0,3.0,Chinatown,1.6666666
M10,SF,94121.0,B07,14,7226,3,3,True,,1,MEDIC,2.0,7.0,1.0,Outer Richmond,2.5833333
E37,SF,94107.0,B10,37,2615,3,3,False,,1,ENGINE,1.0,10.0,10.0,Potrero Hill,2.6833334
E15,SF,94112.0,B09,15,8317,3,3,True,,1,ENGINE,1.0,9.0,11.0,Oceanview/Merced/Ingleside,2.8833334
M18,SF,94121.0,B07,14,7222,3,3,True,,1,MEDIC,7.0,7.0,1.0,Outer Richmond,8.25
T14,SF,94121.0,B07,14,7222,3,3,False,,1,TRUCK,3.0,7.0,1.0,Outer Richmond,3.8833334
E26,SF,94110.0,B06,32,5625,3,3,False,,1,ENGINE,5.0,6.0,8.0,Bernal Heights,3.6666667
E08,SF,94107.0,B03,08,2242,3,3,False,,1,ENGINE,1.0,3.0,6.0,South of Market,3.9
M28,SF,94109.0,B01,41,1535,3,3,True,,1,MEDIC,2.0,1.0,3.0,Russian Hill,3.65
M17,SF,94124.0,B10,17,6513,3,3,True,,1,MEDIC,1.0,10.0,10.0,Bayview Hunters Point,3.2833333
M32,SF,94134.0,B10,42,6365,1,1,True,,1,MEDIC,1.0,10.0,9.0,Portola,5.7
T08,SF,94103.0,B03,08,2256,3,3,True,,1,TRUCK,2.0,3.0,6.0,Mission Bay,2.8333333
M01,SF,94107.0,B03,01,2244,3,3,True,,1,MEDIC,2.0,3.0,6.0,South of Market,2.5166667
M29,SF,94103.0,B02,06,5235,3,3,True,,1,MEDIC,2.0,2.0,8.0,Mission,5.8
E17,SF,94124.0,B10,17,6513,3,3,True,,1,ENGINE,2.0,10.0,10.0,Bayview Hunters Point,3.25
T01,SF,94103.0,B03,01,1322,3,3,False,,1,TRUCK,2.0,1.0,6.0,South of Market,2.65
M10,SF,94121.0,B07,14,7177,3,3,True,,1,MEDIC,2.0,7.0,1.0,Outer Richmond,3.6666667
T11,SF,94112.0,B09,43,6126,3,3,True,,1,TRUCK,2.0,9.0,11.0,Excelsior,1.4
B06,SF,94114.0,B06,11,5514,3,3,False,,1,CHIEF,2.0,6.0,8.0,Noe Valley,1.7166667
B10,SF,94134.0,B09,43,6238,3,3,False,,1,CHIEF,2.0,9.0,10.0,Excelsior,1.55
M36,SF,94103.0,B03,01,2314,2,2,True,,1,MEDIC,1.0,2.0,6.0,South of Market,2.2833333
M29,SF,94103.0,B02,29,5222,3,3,True,,1,MEDIC,2.0,2.0,10.0,Mission,2.5333333
E02,SF,94108.0,B01,13,1314,3,3,False,,1,ENGINE,1.0,1.0,3.0,Financial District/South Beach,2.2
T18,SF,94122.0,B08,23,7652,3,3,True,,1,TRUCK,3.0,8.0,4.0,Sunset/Parkside,2.8166666
E01,SF,94105.0,B03,13,2143,3,3,False,,1,ENGINE,2.0,3.0,6.0,Financial District/South Beach,4.75
E15,SF,94112.0,B09,43,6156,3,3,True,,1,ENGINE,1.0,9.0,11.0,Excelsior,1.7666667
T02,SF,94133.0,B01,02,1332,3,3,False,,1,TRUCK,1.0,1.0,3.0,Chinatown,4.0
E41,SF,94109.0,B04,41,1562,3,3,True,,1,ENGINE,1.0,4.0,3.0,Nob Hill,1.45
E36,SF,94102.0,B02,36,3164,3,3,False,,1,ENGINE,1.0,2.0,5.0,Hayes Valley,2.3166666
E23,SF,94122.0,B08,23,7653,3,3,False,,1,ENGINE,1.0,8.0,4.0,Sunset/Parkside,2.85
E33,SF,94112.0,B09,33,8465,3,3,False,,1,ENGINE,3.0,9.0,11.0,Oceanview/Merced/Ingleside,4.766667
M08,SF,94107.0,B03,08,2173,E,E,True,,1,MEDIC,1.0,3.0,6.0,Financial District/South Beach,2.2166667
RS2,SF,94110.0,B02,07,5423,3,3,False,,1,RESCUE SQUAD,3.0,6.0,9.0,Mission,3.2166667
T17,SF,94124.0,B10,17,6631,3,3,True,,1,TRUCK,3.0,10.0,10.0,Bayview Hunters Point,4.733333
T10,SF,94115.0,B05,21,4345,3,3,False,,1,TRUCK,11.0,5.0,5.0,Lone Mountain/USF,2.65
B10,SF,94107.0,B10,37,2545,3,3,False,,1,CHIEF,9.0,10.0,10.0,Potrero Hill,10.55
E02,SF,94133.0,B01,13,1246,3,3,False,,1,ENGINE,2.0,1.0,3.0,North Beach,4.5666666
E01,SF,94103.0,B03,01,2214,3,3,False,,1,ENGINE,1.0,3.0,6.0,South of Market,3.3333333
T16,SF,94123.0,B04,38,3464,3,3,False,,1,TRUCK,1.0,4.0,2.0,Pacific Heights,8.483334
E08,SF,94103.0,B03,08,2255,3,3,False,,1,ENGINE,1.0,3.0,6.0,South of Market,6.2833333
T02,SF,94111.0,B01,13,1245,3,3,False,,1,TRUCK,3.0,1.0,3.0,Chinatown,2.1333334
M29,SF,94110.0,B06,07,5445,3,3,True,,1,MEDIC,3.0,6.0,8.0,Mission,3.25
B01,SF,94108.0,B01,02,1443,3,3,False,,1,CHIEF,3.0,1.0,3.0,Nob Hill,2.5333333
T11,SF,94110.0,B06,11,5512,3,3,True,,1,TRUCK,1.0,6.0,8.0,Mission,4.4333334
M05,SF,94115.0,B05,05,3624,1,1,True,,1,MEDIC,1.0,5.0,5.0,Western Addition,3.4666667
E38,SF,94115.0,B04,38,3616,3,3,False,,1,ENGINE,1.0,4.0,2.0,Pacific Heights,1.3
RC3,SF,94112.0,B09,33,8371,3,3,True,,1,RESCUE CAPTAIN,3.0,9.0,11.0,Oceanview/Merced/Ingleside,6.133333
M38,SF,94109.0,B04,38,3255,3,3,True,,1,MEDIC,2.0,4.0,5.0,Pacific Heights,1.3333334
B01,SF,94111.0,B01,13,1141,3,3,False,,1,CHIEF,1.0,1.0,3.0,Financial District/South Beach,1.3
E29,SF,94103.0,B02,29,5222,3,3,False,,1,ENGINE,1.0,2.0,10.0,Mission,1.5666667
M03,SF,94102.0,B03,01,1364,3,3,True,,1,MEDIC,3.0,3.0,3.0,Tenderloin,2.3333333
M07,SF,94110.0,B06,07,5511,3,3,True,,1,MEDIC,1.0,6.0,9.0,Mission,1.9666667
E05,SF,94109.0,B02,05,3322,3,3,False,,1,ENGINE,1.0,2.0,5.0,Western Addition,3.0833333
E41,SF,94109.0,B01,41,1566,3,3,False,,1,ENGINE,2.0,1.0,3.0,Russian Hill,4.483333
T19,SF,94132.0,B08,33,8422,3,3,True,,1,TRUCK,2.0,8.0,7.0,Lakeshore,3.5
E01,SF,94103.0,B03,01,2314,3,3,False,,1,ENGINE,2.0,2.0,6.0,South of Market,3.65
RS1,SF,94108.0,B01,02,1331,3,3,False,,1,RESCUE SQUAD,5.0,1.0,3.0,Chinatown,2.6166666
E33,SF,94132.0,B09,33,8375,3,3,False,,1,ENGINE,1.0,9.0,11.0,Oceanview/Merced/Ingleside,4.2166667
E18,SF,94116.0,B08,18,7636,3,3,False,,1,ENGINE,2.0,8.0,4.0,Sunset/Parkside,3.1833334
E03,SF,94102.0,B03,03,1461,3,3,False,,1,ENGINE,2.0,3.0,6.0,Tenderloin,2.7833333
